Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,Volatility,Sharpe_Ratio,Risk_Adjusted_Score,Return_STD,Consistency_Score,Return_Score,Composite_Score,Category_Rank,Overall_Rank
Sundaram Multi-Factor Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1001.85,-0.0339,-0.0293,-0.0377,0.0174,-0.0447,,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.024712305,,,,,,,,
Sundaram Business Cycle Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1679.75,-0.0356,-0.0546,-0.0846,-0.0958,-0.0872,0.0315,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.047820766,-124.8097948,82.1,,,,,,
ICICI Prudential Quality Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,2297.64,-0.026,-0.0232,-0.0525,-0.0059,-0.0472,,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.01897717,,,,,,,,
Canara Robeco Manufacturing Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1508.9,-0.0291,0.0016,-0.0064,-0.0222,-0.0056,0.1856,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.081612934,-71.24360948,90.19,,,,,,
ICICI Prudential Equity Minimum Variance Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,3685.2,-0.0292,-0.0274,-0.0441,0.0133,-0.0406,0.1357,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.068960958,-85.03797233,88.11,,,,,,
ICICI Prudential Active Momentum Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1448.27,-0.0296,-0.0066,0.0038,0.0479,-0.0132,,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.02916227,,,,,,,,
ICICI Prudential Energy Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,9891.84,-0.0309,-0.0019,0.03,0.0747,0.0153,0.2199,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.089788873,-64.37434644,91.23,,,,,,
ICICI Prudential Rural Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,2244.73,-0.0385,-0.0201,-0.0344,-0.0175,-0.0385,0.1722,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.082971385,-70.23867357,90.34,,,,,,
ICICI Prudential Innovation Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,7598.67,-0.0399,-0.0507,-0.0754,-0.0405,-0.0768,0.1171,0.0958,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.072793983,-80.81574515,88.75,0.015061374,97.38,,,,
ICICI Prudential Conglomerate Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,857.22,-0.0407,-0.0169,,,-0.0149,,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.014353165,,,,,,,,
Axis India Manufacturing Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,4910.39,-0.0273,0.0113,0.0157,0.0252,0.0085,0.2013,0.1209,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.081446631,-71.19631523,90.2,0.056851385,90.09,,,,
Axis Momentum Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1094.87,-0.0349,-0.0285,-0.0474,-0.0112,-0.0525,0.1132,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.062203968,-94.63704913,86.66,,,,,,
Axis Services Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1725.11,-0.0368,-0.0459,-0.0959,-0.085,-0.0758,,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.025446159,,,,,,,,
Axis Consumption Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,3151.49,-0.0377,-0.0325,-0.0755,-0.0942,-0.0726,0.0542,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.053178971,-111.8073525,84.06,,,,,,
SBI Innovative Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,5300.79,-0.0304,-0.072,-0.1175,-0.122,-0.1328,-0.0158,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.050170738,-119.9065468,82.84,,,,,,
SBI Quant Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,3518.05,-0.031,-0.0199,0.0084,0.0981,-0.0157,0.1551,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.076178973,-76.72589605,89.36,,,,,,
